Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
"Beschryving van de plechtigheden nevens de lofdichten en gebeden : uitgesproken op het eerste jubelfeest van de synagogue der Portugeesche joodsche gemeente, op de savane in der colonie Suriname : genaamd zegen ev vrede, op den 12den van Wynmaand des jaars MDCCLXXXV.",1785,1785,,,,,1
The Exhibitor.,,,,,,,1
The Idler magazine.,1892,1892,1896,English,text | still image,Periodicals,1
The birds of Great Britain,1862,1862,1873,,still image,Prints | Books,382
Artes y letras,1933,1933,1939,Spanish,still image | text,Periodicals,2
"Loie Fuller notebooks and letters, 1907-1911.",1907,1907,1911,,still image,,1
Opportunity: the salesman's guide,1927,1927,1954,English,text | still image,Periodicals,1
Cartoons of our war with Spain,1898,1898,,English,still image,Cartoons (Commentary),1
La Lumière électrique,1879,1879,1894,French,text | still image,Periodicals,1
"A souvenir of Shakespeare's The merchant of Venice : as presented by David Belasco at the Lyceum Theatre, New York, December 21, 1922.",1923,1923,,,,,2
"Father Abraham's speech to a great number of people, at a vendue of merchant-goods; introduced to the publick by Poor Richard [pseud.] ... in answer to the following questions. Pray, Father Abraham, what think you of the times? Won't these heavy taxes quite ruin the country? How shall we be ever able to pay them? What would you advise us to?",1760,1760,,English,,Pamphlets,2
Camera work: a photographic quarterly,1969,1903,1917,English,text | still image,Periodicals,3
"Éclaircissemens sur l'inscription grecque du monument trouvé ą Rosette, contenant un décret des prźtres de L'Égypte en l'honneur de Prolémée Épiphane, le cinquičme des rois Ptolémées",1803,1803,,,still image,,2
Leopold Morse Goulston baseball collection in memory of Leo J. Bondy.,1880,1880,1910,,,,12
The new pictorial and illustrated family magazine,1846,1846,1849,English,text | still image,Periodicals,1
The Bellman,1906,1906,1919,English,text | still image,Periodicals,1
"Modnoe ezhemi︠e︡si︠a︡chnoe izdanīe, ili, Biblīoteka dli︠a︡ damskago tualeta",1779,1779,,Russian,text | still image,Periodicals,1
William N. and Isabele T. Spiller photograph collection.,,,,,,,1
Railway age,1918-,1918,,English,text | still image,Periodicals,1
Collection de meubles et objets de goût.,ca. 1801-31,1801,,,,,1
"Las Dos Antillas Political Club minutes, 1892-1898.",1892,1892,1898,,,,2
Mu dan ting huan hun ji,1598,1598,,,text | still image,Block books | Plays,2
Travelguide,1946,1946,,English,text | still image,Periodicals | Directories,1
The Edison kinetogram,1909,1909,1916,,still image | text,Periodicals,1
"The illuminated pictorial directory of New York. By Jones, Newman & J.S. Ewbank.",1848,1848,,,,,1
Conjurers' monthly magazine.,1906,1906,1908,,,,1
Interior design,1932,1932,,English,still image | text,Periodicals,1
'Ajâ'ib al-makhlûqât va gharâ'ib al-mawjûdât. (In Persian translation by an unknown author).,ca. 947 [1540],1540,,,still image,,4
The Gentleman's magazine,1731,1731,1907,English,text | still image,Periodicals,2
The Star Spangled Banner.,1814,1814,,,,,1
American political caricatures [1841-1856].,1841,1841,1856,,still image,,1
"David Garrick manuscript materials and ephemera, 1730-1900 : portfolio",1730,1730,1900,,,,2
Ely family letters,1862,1862,1864,English,text,Correspondence,1
New York Genealogical and Biographical Society collection,1644,1644,2002,,text | mixed material,Correspondence | Documents,3
"Government Counterfeit Detector. John S. Dye, editor.",,,,English,,Periodicals,1
"Carnegie, Andrew. Miscellaneous file.",,,,,,,1
Is Hayti decadent? In: Unique Advertiser.,1904-08,1904,,,still image,,1
Church building quarterly,1883,1883,1909,English,text | still image,Periodicals,1
The dance magazine,1923,1923,1931,English,text | still image,Periodicals,1
Playthings,1903,1903,2010,English,still image | text,Periodicals,4
"Portfolio one; twelve photographic prints, by Ansel Adams",1948,1948,,,still image,Photographs | Portfolios,2
Country life,1919,1919,1937,English,text | still image,Periodicals,1
Hypnerotomachia Poliphili...,1499-12,1499,,Latin,text | still image,Illustrated books,2
The Journal of Egyptian archaeology,1914,1914,,English,still image | text,Periodicals,1
Church buildings,,,,,,,1
