Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
The bulletin,1912,1912,1979,English,text,Periodicals,3
fortifications et artifices: architecture et perspectiue,1601,1601,,French,text | still image,rare books | Book illustrations,2
Joseph Conrad collection of papers [Text],1885,1885,1956,English,text | still image,Archival materials,4
Poetry Society of America records,1917,1917,1948,,mixed material,,1
Cartes de visite collection,,,,,still image,Photographs | Cartes de visite,83
Narrative of the life of Frederick Douglass : an American slave / written by himself.,1846,1846,,,text,,1
Puerto Rican Slave Documents,1867,1867,1872,Spanish,text,Documents,67
"New neighborhoods, new lives",1964,1964,,English,still image | text,Pictorial works,3
Twenty-five years of public housing: 1935-1960,1960,1960,,English,text,Pamphlets,1
"30 years of amalgamated cooperative housing, 1927-1957",1958,1958,,English,still image | text,Pamphlets,1
"Clason Point Gardens, Bronx, New York",1942-01,1942,,English,text,Pamphlets,1
Wallabout houses: a defense project for navy families,1942,1942,,English,text | still image,Pamphlets,1
"Construction cost analysis: large scale, low rent housing, public, private and limited dividend",1946,1946,,English,text | still image,Pamphlets,1
"Housing: public housing, slum clearance, quasi-public housing, F. H. A. housing: January 1946- July 1949; report to Mayor william GlDnyer",1949,1949,,,still image | text | cartographic,,2
Australian aboriginals,1880,1880,1881,,still image,Photographs | Albumen prints,4
Collection of 9 Cyanotype Prints from the Yolo Base Line Survey,1881,1881,,,still image,Photographs,4
"Ambrotypes of students of Fort Edward Institute, ca. 1861",1861,1861,,,still image,Portraits | Ambrotypes. | Ambrotypes-Colored. | Paste papers (Paper). | Photographs,6
Cabinet card views of Mexico,1883,1883,1891,,still image,Albumen prints | Cabinet photographs | Photographic prints,4
Simeon A. Stearns papers,1834,1834,1842,English,mixed material,Diaries | Correspondence,2
Peruvian portraits,1860,1860,1899,,,Photographs | Portraits,4
Views of Southern Utah,1875,1875,,,still image,Photographs,2
Album de la galerie contemporaine: biographies & portraits,1876,1876,1877,French,still image | text,Portraits,2
Anthropologisch-ethnologisches Album in Photographien,1873,1873,1874,,still image,Photographs | Portraits,2
Auto-digest register and trade weekly,1918,1918,,English,text,Registers,2
"Photographs of the Department of the Interior, U.S. Geological Survey of the territories",1870,1870,1873,English,still image,Photographs,2
La photographie appliquée aux recherches micrographiques,1866,1866,,French,text | still image,Books,2
An Inquiry into the Nature and Causes of the Wealth of Nations,1776,1776,,English,text,,1
United States Army Medical Museum Composite Photographs of Crania,1885,1885,1887,,still image,Photographs,4
Barnard's Photographic Views of the Sherman Campaign,1864,1864,,,still image,Photographs,2
Hyperion: a romance,1865,1865,,English,still image,Illustrations | Photographs,2
Thegossiping photographer on the Rhine,1864,1864,,,still image,Photographs | Albumen prints-Great Britain-19th century | Landscape photographs-Great Britain-19th century | Cityscape photographs-Great Britain-19th century,2
"Magie, oder, Die zauberkräfte der natur, so auf den nutzen und die belustigung angewandt worden",1784,1784,1786,,text | sound recording-nonmusical,,1
"Liber veritatis: or, A collection of prints, after the original designs of Claude le Lorrain; in the collection of His Grace the Duke of Devonshire",1777,1777,1819,English,still image,Prints,2
"Egypt, Nubia, and Ethiopia",1862,1862,,English,still image | text,,2
Lafemme criminelle et la prostitutée,1890,1890,1925,French,still image,Photographs,4
The oasis.,1834,1834,,,text,,1
Europe: 1912,1912,1912,,English,still image,Photograph albums,4
TheFriendly visitor,1825,1825,,English,text,Periodicals,1
"son of the forest: The experience of William Apes, a native of the forest. Comprising a notice of the Pequod tribe of Indians",1829,1829,,English,text,Biography,1
"A son of the forest. The experience of William Apes, a native of the forest",1831,1831,,English,text,Biography,2
"TheAmerican Institute of Social Service Exhibition, Photographs, 1905",1905,1905,,English,still image,Photographs,2
"Views of Portland, Oregon for the Oregon Art Project",1937,1937,1939,English,still image,Cityscapes | Photographs,2
"Lectures on India: also, descriptions of remarkable customs and personages in other pagan and Mohammedan countries",1849,1849,,English,text | still image,Voyages around the world,1
Tiflis: souvenirs d'une mission,1900,1900,,French,text,Voyages around the world,1
The architecture of ancient Delhi: especially the buildings around the Kutb minar,1872,1872,,English,still image,,2
book of fair women; thirty two plates from photographs,1922,1922,,English,still image | text,Portraits | Photogravures,1
"Lake Como to Stelvio Pass, 1895 (Alps)",1895,1895,,,still image,Photographs,1
Spanish-colonial architecture in Mexico,1901,1902,,English,still image,Pictorial works | Photographs,1
Street life in London: with permanent photographic illustrations taken from life expressly for this publication,1877,1877,1878,English,still image,Pictorial works | Photographs,1
Photoglyphic engravings and other photomechanical prints presented to William Crookes,1852,1852,1858,English,still image,Photomechanical prints | Photoengravings,1
"Lesruines de Paris, 1871",1871,1871,,French,still image,Photographs,2
"Broadsides, photographically illustrated with pictures of wanted criminals",1890,1890,1920,,still image | text,Broadsides | Photographs,1
Rules of the Photographic Society Club: with photographs of members,1856,1856,,English,still image,Photographs | Prints | Portraits | Albums,2
Theruins of Mexico,1910,1910,1911,English,still image,Photographs | Pictorial works,2
Frank M. Sutcliffe's photographs,1881,1881,1887,English,still image,Photographs,4
Camera notes,1897,1897,1903,English,text | still image,Photography--Periodicals,7
Daguerreotype portraits,1840,1840,1860,,still image,Photographs,2
Townsend Walsh Scrapbook Collection,1763,1763,1935,,,,3
Calotypes by W.H.F. Talbot,1840,1840,1849,,still image,Photographs,4
Thomas Moran: prints and drawings,1859,1859,1889,,still image,Prints,33
"TheYellowstone National Park, and the mountain regions of portions of Idaho, Nevada, Colorado and Utah",1876,1876,,English,still image,Pictorial works | Prints,15
Claude Lorrain: etchings,1636,1636,1637,,still image,Prints,2
Arbre généalogique de l'harmonie,1767,1767,,French,text,Charts,1
Excursions daguerriennes,1840,1840,1852,,still image,Prints,3
TheClothier and furnisher,1881,1881,1926,English,,Periodicals,2
Zodchīĭ,1872,1872,1917,Russian | French,still image,Periodical illustrations | Prints,2
James Madison papers,1773,1773,1847,English,text,Correspondence | Documents,368
DieMode in der Karikatur,1928,1928,,,text | still image,Caricatures and cartoons,1
Malerische Innenräume moderner Wohnungen: in Aufnahmen nach der Natur,1885,1885,1892,,text | still image,,1
Ward family papers,1870,1870,1953,English,text | still image,Photographs | Documents,2
Ausstattung vornehmer wohnräume,1897,1897,,,still image,Prints,2
Der Bazar: illustrierte Damen-Zeitung,1859,1859,1891,,text | still image,Periodicals,1
Marcantonio Raimondi: engravings,1500,1500,1534,,still image,Prints,1
Qvadrins Historiqves De La Bible,1553,1553,,French,text | still image,Illustrations | Prints | Poetry,1
"Petri de Blarroriuo Parhisiani insigne Nanceidos: opus de bello Nanceiano, hac primum exaratura elimatissime nuperrime in lucem emissum",1518,1537,,Latin,text,Poetry | Illustrations,1
Eugen Napoleon Neureuther: etchings,1838,1838,1882,,still image,Prints,1
Frederick W. Kobbé and Helen Jay De Bois genealogical research papers,1817,1817,1944,,,,1
Essais de gravûre,1703,1703,1707,French,still image,Prints,1
"Exploration of the Colorado River of the West and its tributaries: Explored in 1869, 1870, 1871, and 1872, under the direction of the secretary of the Smithsonian institution",1875,1875,,English,text | still image,Discovery & exploration,1
Curiosities of natural history,1864,1864,,English,text,Curiosities & wonders,1
The old curiosity shop. A tale,1841,1841,,English,text | still image,Book illustrations,1
From nowhere to the North Pole: a Noah's ark-æological narrative,1875,1875,,English,text | still image,,1
Thomas Jefferson papers,1766,1766,1826,English,text,Documents | Correspondence,58
Mikhail Mordkin Papers,,,,,,,1
Blackwork ornament designs for gold- and silversmiths,1618,1618,1619,,still image,Pattern books | Prints,1
Designs for richly ornamented dishes with medallions,1577,1577,1578,,still image,Prints,1
The Ladies' companion,1934,1934,1944,English,text | still image | notated music,Periodicals,1
An account of Sir Isaac Newton's philosophical discoveries: in four books,1748,1748,,English,text | still image,,1
"Charles Lutwidge Dodgson collection of papers, [1851?]-1932 bulk (1864-1897)",1851,1851,1932,English,text | still image | three dimensional object,Archival materials,3
Voyage de Paris dans l'Amérique du Sud. Poussé jusqu'au Hâvre inclusivement,1845,1800,1899,French,still image,,1
"Habitvs Præcipvorvm Popvlorvm, Tam Virorvm Qvam fœminarum Singulari arte depicti. Trachtenbuch: Darin fast allerley und der fürnembsten Nationen, die heutigs tags bekandt sein, Kleidungen, beyde wie es bey Manns und Weibspersonen gebreuchlich, mit allem vleiss abgerissen sein, sehr lustig und kurtzweilig zusehen",1577,1577,,Latin,text | still image,Prints | Clothing & dress | Book illustrations,2
George Chalmers collection,1606,1606,1817,English,text,Documents,9
Vogue pattern book,1925,1925,1972,English,still image | text,Periodicals | Illustrated periodicals,1
McCall pattern book,1913,1913,1958,English,still image,Periodicals | Periodical illustrations,2
Ritratto Di Roma Moderna: All'Eminentiss. e Reuerendiss. Sig.re il Sig. Card: Antonio Barberino,1638,1638,,Italian,text,Guidebooks,1
Albrecht Dürer: prints,1496,1496,1523,,still image,Prints,1
Josephine Butler collection of music covers,,,,,,,1
Rembrandt van Rijn: prints,1628,1628,1658,,still image,Prints,3
"Commercium epistolicum D. Johannis Collins: et aliorum, de analysi promota, jussu Societatis Regiæ in lucem editum: et jam unà cum ejusdem recensione præmissa, & judicio primarii, ut ferebatur, mathematice subjuncto, iterum impressum",1722,1722,,Latin,text,,1
Pierre Bonnard: prints,1893,1893,1925,,still image,Prints,2
"The Orcharde of Syon, in the whiche is conteyned the revelacyons of seynt Katheryne of Sene, with ghostly fruytes & precyous plantes for the helthe of mannes soul",1519-09-28,1519,,"English, Middle (1100-1500)",text | still image,Religious books | Early printed books,1
"The doctrine and discipline of divorce: restor'd to the good of both sexes, from the bondage of canon law, and other mistakes, to Christian freedom, guided by the rule of charity. Wherein also many places of Scripture, have recover'd their long-lost meaning. Seasonable to be now thought on in the Reformation intended",1643,1643,,English,text,,1
"Ellen: or, Whisperings of an old pine",1903,1903,1908,English,text,Books,2
The Cuba review and bulletin,1903,1903,1930,English,text | still image,Periodicals,1
"Bonfanti, Maria, 1847-1921 Photographic albums",1860,1860,1914,,still image,Scrapbooks | Photographs,1
Paradise lost: A poem written in ten books,1667,1667,,,still image,,1
John Gadsby Chapman: prints,,,,,,Prints,2
Philip Mazzei papers,1775,1775,1785,English | French,text,Correspondence | Documents | Manuscripts,26
Richard Henry Lee letters,1771,1771,1793,English,text,correspondence,17
Opera philosophica et mineralia,1734,1734,,Latin,still image | text,,1
Boston Committee of Correspondence records,1772,1772,1784,English,text,Documents | minute books,258
Silas Deane letters,1767,1767,1785,English,text,Correspondence,11
Henry Knox papers,1779,1779,1800,English,text,Correspondence | Documents | Autographs,32
German master prints,,,,,still image,Prints,283
Alexander Hamilton papers,1775,1775,1804,English,text,Correspondence | legal documents,40
Joseph Hawley papers,1653,1653,1804,English,text,Manuscripts | cadastral maps | diaries | military commissions | military records | Documents | Correspondence,40
Emigrant Savings Bank records,1841,1841,1945,English,text,minutes | Documents | records,16
Little brother & little sister and other tales,1917,1917,,English,text | still image,,1
Noah Webster papers,1764,1764,1843,English,text,correspondence | diaries | commonplace books | notes | writings | Documents | Manuscripts | Clippings | Autographs,67
Tres índices expurgatorios de la Inquisición Española en le siglo XVI,1952,1559,,Spanish,text,,2
Madam Modjeska scrapbooks,1877,1877,1898,English,text | text | still image,scrapbooks,2
Beauty and the beast,1890,1890,1899,,still image,Picture books,1
Hansel and Gretel and other stories,1920,1920,1929,English,text | still image,,1
Middlemarch: a study of provincial life,1871,1871,1872,English,text,Fiction | Books,8
A handbook for Greek and Roman lace making,1869,1869,,,still image,"patterns | Specimens | Handbooks, manuals, etc.",2
Album of Peruvian sketches,1840,1840,,,still image,Drawings | Sketches | Albums,1
"Vida de la venerable negra, la madre sor Theresa Juliana de Santo Domingo, de feliz memoria, 1757 Volume II",1757,1757,,Spanish,text,Manuscripts,1
Anne Allen: etchings,,,,,,Prints,2
Teatro Delle Nobili Et Virtvose Donne: Dove Si Rappresentano varii Disegni di Lauori,1616,1616,,Italian,still image,patterns | Prints,1
"Der Raupen wunderbare Verwandelung: und sonderbare Blumen-Nahrung, worinnen, durch eine gantz-neue Erfindung, der Raupen, Würmer, Sommer-Vögelein, Motten, Fliegen, und anderer dergleichen Thierlein, Ursprung, Speisen, und Veränderungen, samt ihrer Zeit, Ort, und Eigenschaften, den Naturkündigern, Kunstmahlern, und Gartenliebhabern zu Dienst, fleissig untersucht, kürtzlich beschrieben, nach dem Leben abgemahlt, ins Kupfer gestochen, und selbst verlegt",1679,1679,1683,German,still image | text,,1
Diana Scultori: engravings,,,,,still image,Prints,1
Elisabetta Sirani: prints,,,,,,Prints,2
Duyckinck Collection,1496,1496,1845,,still image,Prints,1
"Conditions in the Paint Creek district, West Virginia: Hearings before a subcommittee of the Committee on Education and Labor, United States Senate, Sixty-third Congress, first session, pursuant to S. res. 37, a resolution authorizing the appointment of a committee to make an investigation of conditions in the Paint Creek district, West Virginia [June 2-Oct. 29, 1913]",1913,1913,,English,text | still image,,1
Maria Cosway: prints,,,,,still image,Prints,2
Jackson Architectural Iron Works,1900,1900,1909,English,still image,Prints | Albums,1
The races of man: an outline of anthropology and ethnography,1900,1900,,English,text | still image | cartographic,Books,3
Local planning and zoning: a manual of powers and procedures for citizens and governmental officials,1945,1945,,English,text | cartographic,Pamphlets,1
Theodorus Bailey Myers collection,1542,1542,1879,English | German | French | Latin,text,correspondence | engravings | paper money | Autographs | Documents,1810
Five sketchbooks,1853,1853,1881,,still image,Drawings,1
The cabinet gallery of pictures by the first masters of the English and foreign schools: in seventy-two line engravings : with biographical and critical dissertations,1834,1834,,English,text | still image,Books,1
Awful shipwreck: An affecting narrative of the unparalleled sufferings of the crew of the ship Francis Spaight,1836,1836,,English,text | still image,Pamphlets,1
Elaine Lustig Cohen Dada Collection,1916,1916,1985,,text | still image,,5
Histoire de l'art par les monumens: depuis sa décadence au IVe siècle jusqu'à son renouvellement au XIVe,1823,1823,,French,still image,,1
Jacques Offenbach und das Paris seiner Zeit,1937,1937,,German,text | still image,Biographies | Books,6
"The Greenes of Rhode Island: with historical records of English ancestry, 1534-1902",1903,1903,,English,text | still image,Books | Family histories,1
"Genealogy of the Willcomb family of New England (1665-1902): together with a condensed history of the town of Ipswich, Massachusetts",1902,1902,,English,text | still image,Books | Family histories,2
Schieffelin family papers,1756,1756,1908,English,text,maps (documents) | military records | photographs | documents | manuscripts | correspondence | poetry | notebooks | journals | essays | receipts | deeds | notes,2
