Demographic,Borough,Cohort,Total Cohort,Total Grads,Total Regents,Advanced Regents,Regents w/o Advanced ,Local,Still Enrolled,Dropped Out
English Proficient Students,Manhattan,2005,13934,9001,7161,2525,4636,1840,3237,1232
English Proficient Students,Queens,2005,17003,10814,8660,3416,5244,2154,3608,1919
English Proficient Students,Staten Island,2005,4273,3039,2442,1056,1386,597,699,321
Special Education,Bronx,2005,2665,585,200,16,184,385,1017,588
Special Education,Brooklyn,2005,3021,649,217,41,176,432,1254,649
Special Education,Manhattan,2005,1916,514,202,20,182,312,754,382
Special Education,Queens,2005,2366,629,232,21,211,397,930,502
Special Education,Staten Island,2005,777,283,107,15,92,176,256,127
General Education,Bronx,2005,12510,7644,5418,1528,3890,2226,2926,1559
General Education,Brooklyn,2005,19310,11954,9271,3577,5694,2683,5066,1929
General Education,Manhattan,2005,13927,9302,7421,2653,4768,1880,3120,1215
General Education,Queens,2005,17145,11234,9058,3597,5461,2176,3505,1933
General Education,Staten Island,2005,3683,2815,2360,1044,1316,455,502,235
Asian,Bronx,2005,753,657,599,459,140,58,56,28
Asian,Brooklyn,2005,2954,2144,1957,1303,654,187,561,214
Asian,Manhattan,2005,2073,1697,1568,1062,506,129,261,93
Asian,Queens,2005,4901,3683,3218,1839,1379,465,793,304
Asian,Staten Island,2005,379,326,296,187,109,30,40,6
Black,Bronx,2005,5048,2724,1771,261,1510,953,1349,678
Black,Brooklyn,2005,11098,5886,4033,868,3165,1853,3484,1214
Black,Manhattan,2005,4448,2423,1769,315,1454,654,1322,493
Black,Queens,2005,5241,2882,2080,425,1655,802,1372,708
Black,Staten Island,2005,778,429,289,62,227,140,196,87
Hispanic,Bronx,2005,8616,4356,2842,570,2272,1514,2392,1351
Hispanic,Brooklyn,2005,5244,2529,1706,499,1207,823,1690,821
Hispanic,Manhattan,2005,7555,4231,2954,650,2304,1276,2083,942
Hispanic,Queens,2005,6842,3540,2554,701,1853,986,1875,1132
Hispanic,Staten Island,2005,915,479,358,94,264,121,238,127
White,Bronx,2005,644,432,365,244,121,67,114,72
White,Brooklyn,2005,2879,1978,1747,934,813,231,524,310
White,Manhattan,2005,1647,1384,1268,635,633,116,183,59
White,Queens,2005,2361,1667,1369,635,734,298,369,248
White,Staten Island,2005,2368,1855,1521,715,806,334,277,139
Female,Bronx,2005,7288,4432,3010,809,2201,1422,1652,879
Female,Brooklyn,2005,10942,6867,5149,1939,3210,1718,2679,1032
Female,Manhattan,2005,8566,5784,4525,1546,2979,1259,1819,722
Female,Queens,2005,9252,6338,4937,2000,2937,1401,1682,949
Female,Staten Island,2005,2216,1633,1303,569,734,330,311,158
Male,Bronx,2005,7887,3797,2608,735,1873,1189,2291,1268
Male,Brooklyn,2005,11389,5736,4339,1679,2660,1397,3641,1546
Male,Manhattan,2005,7277,4032,3098,1127,1971,933,2055,875
Male,Queens,2005,10259,5525,4353,1618,2735,1172,2753,1486
Male,Staten Island,2005,2244,1465,1164,490,674,301,447,204
Borough Total,Bronx,2006,15579,8524,6312,1558,4754,2212,3824,2402
Borough Total,Brooklyn,2006,22177,13040,10440,3717,6723,2600,5636,2731
Borough Total,Manhattan,2006,16416,10411,8715,2781,5934,1696,3719,1684
Borough Total,Queens,2006,19558,12465,10285,3637,6648,2180,4272,2256
Borough Total,Staten Island,2006,4603,3346,2818,1192,1626,528,683,414
English Language Learners,Bronx,2006,2143,791,396,30,366,395,722,429
English Language Learners,Brooklyn,2006,2181,905,641,186,455,264,764,433
English Language Learners,Manhattan,2006,1977,817,563,169,394,254,643,411
English Language Learners,Queens,2006,2598,1168,793,195,598,375,832,497
English Language Learners,Staten Island,2006,153,74,44,13,31,30,40,24
English Proficient Students,Bronx,2006,13436,7733,5916,1528,4388,1817,3102,1973
English Proficient Students,Brooklyn,2006,19996,12135,9799,3531,6268,2336,4872,2298
English Proficient Students,Manhattan,2006,14439,9594,8152,2612,5540,1442,3076,1273
English Proficient Students,Queens,2006,16960,11297,9492,3442,6050,1805,3440,1759
English Proficient Students,Staten Island,2006,4450,3272,2774,1179,1595,498,643,390
Special Education,Bronx,2006,2889,741,261,17,244,480,988,655
